Transaction_ID,User_ID,Date,Transaction_Amount,Transaction_Type,Device_Type,Location,Merchant_Category,Account_Balance,Card_Type,Card_Age,Daily_Transaction_Count,Previous_Fraudulent_Activity,Fraud_Label
TXN000001,USR2151,2023-01-01,350.08,ATM,Mobile,City_1,Electronics,8036.82,Credit,30,4,0,0
TXN000002,USR8657,2023-01-01,941.6,POS,Mobile,City_20,Groceries,11178.2,Credit,11,3,0,1
TXN000003,USR8147,2023-01-01,199.65,Online,Desktop,City_6,Electronics,5225.46,Credit,15,5,0,0
TXN000004,USR2792,2023-01-01,216.9,POS,Desktop,City_10,Restaurants,5704.15,Debit,90,4,1,0
TXN000005,USR1723,2023-01-01,234.32,ATM,Desktop,City_13,Entertainment,17844.78,Credit,67,3,0,0
TXN000006,USR5255,2023-01-01,479.81,POS,Mobile,City_9,Gas,2987.61,Debit,9,3,0,0
TXN000007,USR6280,2023-01-01,118.16,Mobile Payment,Desktop,City_16,Groceries,12119.54,Credit,170,1,0,0
TXN000008,USR4074,2023-01-01,142.0,ATM,Mobile,City_9,Gas,16167.35,Debit,51,1,0,0
TXN000009,USR5844,2023-01-01,88.25,POS,Desktop,City_8,Travel,9003.54,Debit,88,5,0,0
TXN000010,USR9775,2023-01-01,359.93,POS,Tablet,City_13,Clothing,46557.92,Prepaid,169,1,1,0
TXN000011,USR6493,2023-01-01,241.72,POS,Mobile,City_13,Entertainment,644.1,Credit,24,4,0,0
TXN000012,USR8446,2023-01-01,398.48,ATM,Desktop,City_18,Gas,871.71,Debit,36,1,0,0
TXN000013,USR2479,2023-01-01,1430.37,POS,Desktop,City_11,Travel,3254.78,Debit,16,1,0,1
TXN000014,USR1995,2023-01-01,3716.42,Online,Mobile,City_4,Clothing,9192.99,Debit,14,2,0,1
TXN000015,USR2362,2023-01-01,42.05,POS,Mobile,City_6,Gas,254.99,Credit,126,3,0,0
TXN000016,USR5000,2023-01-01,211.01,ATM,Desktop,City_6,Travel,25098.16,Credit,42,2,0,0
TXN000017,USR4071,2023-01-01,65.07,Online,ATM,City_4,Travel,12632.01,Debit,123,4,0,0
TXN000018,USR8807,2023-01-01,427.07,Online,Mobile,City_19,Gas,18361.07,Debit,111,3,1,1
TXN000019,USR3452,2023-01-01,155.13,POS,Tablet,City_17,Travel,57815.35,Prepaid,13,3,0,1
TXN000020,USR2375,2023-01-01,134.66,POS,Desktop,City_8,Gas,3290.31,Debit,45,3,0,0
TXN000021,USR1179,2023-01-01,1646.76,ATM,Mobile,City_4,Restaurants,44227.94,Credit,166,2,0,0
TXN000022,USR6405,2023-01-01,80.72,Wire Transfer,Mobile,City_9,Travel,4315.47,Credit,61,4,0,0
TXN000023,USR8816,2023-01-01,7239.21,ATM,ATM,City_18,Electronics,1877.8,Prepaid,4,3,0,1
TXN000024,USR2982,2023-01-01,205.92,ATM,Mobile,City_11,Electronics,3705.79,Prepaid,59,7,0,1
TXN000025,USR7065,2023-01-01,2449.61,ATM,Mobile,City_4,Groceries,35671.7,Debit,5,1,0,1
TXN000026,USR4928,2023-01-01,134.96,POS,ATM,City_17,Healthcare,7672.09,Debit,72,3,0,0
TXN000027,USR3671,2023-01-01,91.85,POS,Desktop,City_18,Healthcare,33299.62,Debit,127,3,0,0
TXN000028,USR6867,2023-01-01,40.63,Online,Mobile,City_16,Groceries,892.39,Debit,300,4,1,0
TXN000029,USR1955,2023-01-01,186.22,POS,Mobile,City_10,Electronics,20441.67,Debit,40,3,0,0
TXN000030,USR6451,2023-01-01,124.24,ATM,Mobile,City_3,Groceries,3233.04,Credit,8,1,0,0
TXN000031,USR4723,2023-01-01,764.43,Online,Mobile,City_20,Groceries,3460.04,Debit,82,2,0,0
TXN000032,USR6191,2023-01-01,210.97,POS,Desktop,City_2,Gas,26286.61,Credit,5,3,0,0
TXN000033,USR4296,2023-01-01,125.16,POS,Mobile,City_7,Groceries,871.86,Debit,157,3,0,0
TXN000034,USR6740,2023-01-01,2582.47,POS,Desktop,City_20,Electronics,17173.02,Credit,2,5,0,1
TXN000035,USR5485,2023-01-01,1656.78,POS,ATM,City_20,Healthcare,63671.57,Credit,27,3,0,0
TXN000036,USR2927,2023-01-01,119.7,POS,Mobile,City_3,Travel,6974.02,Debit,61,4,0,0
TXN000037,USR2823,2023-01-01,132.8,POS,Desktop,City_10,Clothing,2752.07,Prepaid,63,4,0,0
TXN000038,USR7533,2023-01-01,1334.13,Mobile Payment,ATM,City_11,Groceries,5265.06,Credit,34,4,0,0
TXN000039,USR6599,2023-01-01,324.06,Mobile Payment,ATM,City_12,Groceries,9902.09,Credit,97,4,0,0
TXN000040,USR4191,2023-01-01,208.12,POS,Mobile,City_10,Travel,43240.89,Debit,17,4,0,0
TXN000041,USR4243,2023-01-01,542.21,ATM,Mobile,City_16,Groceries,11334.12,Credit,19,7,0,0
TXN000042,USR5662,2023-01-01,109.66,Online,Mobile,City_4,Travel,710.6,Debit,49,5,1,0
TXN000043,USR8261,2023-01-01,121.17,POS,Desktop,City_19,Restaurants,76181.94,Prepaid,207,2,0,1
TXN000044,USR1473,2023-01-01,197.0,POS,ATM,City_4,Healthcare,7744.16,Debit,56,2,0,0
TXN000045,USR4102,2023-01-01,1170.24,Mobile Payment,Desktop,City_13,Groceries,20930.28,Credit,81,4,0,0
TXN000046,USR1112,2023-01-01,418.36,Online,Mobile,City_14,Restaurants,2939.18,Credit,4,5,0,1
TXN000047,USR8854,2023-01-01,304.29,POS,Mobile,City_20,Healthcare,35868.66,Debit,15,5,0,0
TXN000048,USR2164,2023-01-01,1799.46,Mobile Payment,Mobile,City_18,Entertainment,23214.56,Debit,17,3,0,0
